,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
29,600850.SH,20260401,23.06,23.11,22.81,22.97,22.58,0.39,1.7272,68047.43,156426.656
30,600850.SH,20260331,23.12,23.16,22.55,22.58,23.06,-0.48,-2.0815,81861.27,187394.979
31,600850.SH,20260330,22.45,23.24,22.37,23.06,22.86,0.2,0.8749,85941.0,197576.481
32,600850.SH,20260327,21.9,23.09,21.87,22.86,22.25,0.61,2.7416,97167.89,219793.212
33,600850.SH,20260326,22.76,22.86,22.17,22.25,22.8,-0.55,-2.4123,80489.81,180886.768
34,600850.SH,20260325,22.51,23.01,22.51,22.8,22.5,0.3,1.3333,100416.36,229313.661
35,600850.SH,20260324,22.66,22.73,21.9,22.5,22.29,0.21,0.9421,134333.72,298312.1
36,600850.SH,20260323,23.52,23.81,22.1,22.29,23.91,-1.62,-6.7754,139516.96,317783.594
37,600850.SH,20260320,25.25,25.39,23.91,23.91,25.22,-1.31,-5.1943,138801.42,338923.561
38,600850.SH,20260319,25.0,25.47,24.8,25.22,25.33,-0.11,-0.4343,97588.37,244847.297
39,600850.SH,20260318,25.01,25.44,24.89,25.33,24.99,0.34,1.3605,74570.39,187887.439
40,600850.SH,20260317,25.58,25.67,24.97,24.99,25.46,-0.47,-1.846,76579.59,193615.836
41,600850.SH,20260316,25.7,25.77,25.28,25.46,25.76,-0.3,-1.1646,79977.94,203429.077
42,600850.SH,20260313,26.29,26.29,25.73,25.76,26.33,-0.57,-2.1648,83294.6,216180.622
43,600850.SH,20260312,26.74,26.83,26.23,26.33,26.76,-0.43,-1.6069,81112.09,214622.044
44,600850.SH,20260311,27.08,27.2,26.7,26.76,27.08,-0.32,-1.1817,85820.51,230938.583
45,600850.SH,20260310,27.38,27.69,26.83,27.08,27.11,-0.03,-0.1107,113715.64,308875.996
46,600850.SH,20260309,26.31,27.33,26.12,27.11,26.92,0.19,0.7058,129253.83,343703.63
47,600850.SH,20260306,26.2,27.25,26.12,26.92,26.1,0.82,3.1418,119925.31,321456.462
48,600850.SH,20260305,26.3,26.42,25.94,26.1,25.83,0.27,1.0453,76414.54,200345.221
49,600850.SH,20260304,25.81,26.36,25.7,25.83,26.03,-0.2,-0.7683,87704.3,228069.077
50,600850.SH,20260303,27.89,28.05,25.97,26.03,27.86,-1.83,-6.5686,167122.44,447218.452
51,600850.SH,20260302,28.2,28.3,27.79,27.86,28.61,-0.75,-2.6215,134039.89,375705.703
52,600850.SH,20260227,28.05,28.85,27.9,28.61,28.05,0.56,1.9964,160670.89,457365.423
53,600850.SH,20260226,27.88,28.05,27.65,28.05,27.81,0.24,0.863,101121.62,281870.382
54,600850.SH,20260225,27.71,27.96,27.62,27.81,27.73,0.08,0.2885,76363.68,212490.02
55,600850.SH,20260224,28.3,28.3,27.36,27.73,27.92,-0.19,-0.6805,98708.25,273913.079
56,600850.SH,20260213,28.0,28.3,27.85,27.92,28.05,-0.13,-0.4635,89319.6,250823.015
57,600850.SH,20260212,27.95,28.28,27.68,28.05,27.8,0.25,0.8993,90034.74,252142.616
58,600850.SH,20260211,27.87,28.17,27.76,27.8,27.96,-0.16,-0.5722,74826.89,209393.232
59,600850.SH,20260210,27.81,28.2,27.71,27.96,27.8,0.16,0.5755,89385.72,250270.895
60,600850.SH,20260209,27.64,27.88,27.38,27.8,27.26,0.54,1.9809,100037.15,276619.582
61,600850.SH,20260206,27.12,27.48,26.91,27.26,27.32,-0.06,-0.2196,88356.0,240795.596
62,600850.SH,20260205,27.77,27.88,27.2,27.32,27.92,-0.6,-2.149,90099.6,247394.622
63,600850.SH,20260204,27.76,28.35,27.54,27.92,27.9,0.02,0.0717,96407.96,268712.776
64,600850.SH,20260203,27.4,27.98,27.2,27.9,27.08,0.82,3.0281,97176.87,268460.186
65,600850.SH,20260202,27.9,27.95,27.02,27.08,27.82,-0.74,-2.66,100518.17,275880.522
66,600850.SH,20260130,28.08,28.08,27.14,27.82,28.19,-0.37,-1.3125,135840.82,374889.798
67,600850.SH,20260129,28.3,29.06,28.06,28.19,28.6,-0.41,-1.4336,139789.6,398477.883
68,600850.SH,20260128,28.9,29.07,28.45,28.6,28.89,-0.29,-1.0038,100037.34,287421.74
69,600850.SH,20260127,28.45,29.08,28.01,28.89,28.65,0.24,0.8377,144215.14,412173.374
70,600850.SH,20260126,30.47,30.49,28.29,28.65,30.44,-1.79,-5.8804,299234.4,870352.789
71,600850.SH,20260123,29.15,31.1,28.95,30.44,29.01,1.43,4.9293,330223.08,995224.124
72,600850.SH,20260122,28.9,29.29,28.73,29.01,28.79,0.22,0.7642,149063.67,432395.841
73,600850.SH,20260121,28.62,29.29,28.53,28.79,28.91,-0.12,-0.4151,157432.97,454573.094
74,600850.SH,20260120,29.75,30.2,28.5,28.91,29.63,-0.72,-2.43,210210.19,612384.131
75,600850.SH,20260119,30.31,30.4,29.49,29.63,30.62,-0.99,-3.2332,282037.65,841383.379
76,600850.SH,20260116,31.52,31.78,30.2,30.62,31.35,-0.73,-2.3285,242630.41,746199.097
77,600850.SH,20260115,31.82,32.23,31.05,31.35,32.28,-0.93,-2.881,243255.78,765826.731
78,600850.SH,20260114,31.98,33.57,31.83,32.28,32.91,-0.63,-1.9143,474471.47,1546270.216
79,600850.SH,20260113,34.98,35.18,32.68,32.91,35.38,-2.47,-6.9813,484470.99,1614975.852
80,600850.SH,20260112,34.96,35.98,34.28,35.38,32.77,2.61,7.9646,543019.35,1901722.746
81,600850.SH,20260109,31.54,33.54,31.4,32.77,31.54,1.23,3.8998,455881.45,1494911.495
82,600850.SH,20260108,29.66,32.57,29.52,31.54,29.61,1.93,6.5181,430380.5,1343038.747
83,600850.SH,20260107,29.59,29.89,29.29,29.61,29.72,-0.11,-0.3701,142121.39,420219.193
84,600850.SH,20260106,29.79,29.9,29.17,29.72,29.47,0.25,0.8483,181782.42,537096.806
85,600850.SH,20260105,29.68,29.83,29.1,29.47,29.64,-0.17,-0.5735,180609.05,531959.823
