run_at,signal_date,manual_action_date,ts_code,stock_name,action,suggested_shares,reference_close,sma,cash_before_signal,portfolio_value,status,reason,manual_checklist
2026-06-27 16:03:35,2024-03-05,next trading day,600519.SH,贵州茅台,WAIT,0,1695.1,1673.9995,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-06,next trading day,600519.SH,贵州茅台,WAIT,0,1680.55,1677.377,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-07,next trading day,600519.SH,贵州茅台,WAIT,0,1683.63,1681.313,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-11,next trading day,600519.SH,贵州茅台,WAIT,0,1694.49,1689.3075,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-12,next trading day,600519.SH,贵州茅台,WAIT,0,1745.0,1695.057,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-13,next trading day,600519.SH,贵州茅台,WAIT,0,1727.45,1697.6295,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-14,next trading day,600519.SH,贵州茅台,WAIT,0,1716.63,1697.9115,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-15,next trading day,600519.SH,贵州茅台,WAIT,0,1717.49,1698.486,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-18,next trading day,600519.SH,贵州茅台,WAIT,0,1708.26,1699.1275,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-19,next trading day,600519.SH,贵州茅台,WAIT,0,1708.02,1701.0285,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-20,next trading day,600519.SH,贵州茅台,WAIT,0,1709.6,1700.6255,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-21,next trading day,600519.SH,贵州茅台,WAIT,0,1709.0,1700.1565,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-22,next trading day,600519.SH,贵州茅台,WAIT,0,1701.35,1699.5195,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-26,next trading day,600519.SH,贵州茅台,WAIT,0,1709.29,1700.2105,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-28,next trading day,600519.SH,贵州茅台,WAIT,0,1701.64,1701.515,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-29,next trading day,600519.SH,贵州茅台,WAIT,0,1702.9,1702.407,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-04-01,next trading day,600519.SH,贵州茅台,WAIT,0,1721.33,1704.6585,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-04-02,next trading day,600519.SH,贵州茅台,WAIT,0,1713.99,1705.603,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-04-03,next trading day,600519.SH,贵州茅台,WAIT,0,1715.11,1707.331,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-04-23,next trading day,600519.SH,贵州茅台,WAIT,0,1692.28,1680.395,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-04-24,next trading day,600519.SH,贵州茅台,WAIT,0,1693.6,1680.6245,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-04-25,next trading day,600519.SH,贵州茅台,WAIT,0,1693.04,1679.812,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
